DateTime,Entries,UniqueIPs
1537387484,2911,2911
1537388414,2914,2914
1537389388,2912,2912
1537390338,2919,2919
1537391323,2916,2916
1537392258,2907,2907
1537393217,2906,2906
1537394178,2886,2886
1537395146,2883,2883
1537396093,2872,2872
1537397065,2889,2889
1537398029,2878,2878
1537398989,2869,2869
1537399940,2869,2869
1537400899,2866,2866
1537401875,2871,2871
1537402819,2846,2846
1537403784,2878,2878
1537404753,2873,2873
1537405711,2898,2898
1537406671,2909,2909
1537407624,2931,2931
1537408588,2908,2908
1537409540,2954,2954
1537410498,2953,2953
1537411456,2944,2944
1537412444,2959,2959
1537413380,2973,2973
1537414360,2961,2961
1537415331,2965,2965
1537416271,2975,2975
1537417218,2975,2975
1537418178,2988,2988
1537419158,2986,2986
1537420099,2984,2984
1537421059,2984,2984
1537422017,2987,2987
1537422996,2991,2991
1537423958,2992,2992
1537424892,2993,2993
1537425868,2985,2985
1537426841,2990,2990
1537427799,2974,2974
1537428740,2956,2956
1537429702,2991,2991
1537430668,2988,2988
1537431861,2981,2981
1537432819,2977,2977
1537433782,2975,2975
1537434751,2980,2980
1537435711,2977,2977
1537436655,3002,3002
1537437640,2987,2987
1537438584,2974,2974
1537439545,2972,2972
1537440501,3001,3001
1537441472,2991,2991
1537442434,3008,3008
1537443388,2999,2999
1537444359,2994,2994
1537445308,2985,2985
1537446269,2998,2998
1537447224,3013,3013
1537448182,3003,3003
1537449147,3016,3016
1537450092,3018,3018
1537451064,3010,3010
1537452018,2994,2994
1537452993,3029,3029
1537453939,3028,3028
1537454911,3037,3037
1537455869,3033,3033
1537456815,3037,3037
1537457785,3048,3048
1537458743,3048,3048
1537459742,3043,3043
1537460663,3033,3033
1537461629,3049,3049
1537462579,3055,3055
1537463548,3047,3047
1537464495,3068,3068
1537465475,3080,3080
1537466440,3073,3073
1537467390,3084,3084
1537468343,3114,3114
1537469298,3103,3103
1537470266,3159,3159
1537471227,3105,3105
1537472188,3120,3120
1537473138,3116,3116
1537474102,3109,3109
1537475070,3088,3088
1537476022,3097,3097
1537476977,3092,3092
1537477947,3091,3091
1537478891,3088,3088
1537479879,3094,3094
1537480823,3112,3112
1537481786,3105,3105
1537482742,3078,3078
1537483701,3061,3061
1537484658,3077,3077
1537485638,3053,3053
1537486593,3050,3050
1537487562,3021,3021
1537488503,3011,3011
1537489460,3014,3014
1537490422,3008,3008
1537491394,2990,2990
1537492345,2961,2961
1537493308,2961,2961
1537494260,2990,2990
1537495237,2974,2974
1537496209,2972,2972
1537497653,3007,3007
1537498571,3012,3012
1537499540,2970,2970
1537500494,3015,3015
1537501480,3032,3032
1537502447,3019,3019
1537503381,3045,3045
1537504344,3038,3038
1537505315,3051,3051
1537506257,3070,3070
1537507251,3076,3076
1537508190,3112,3112
1537509157,3057,3057
1537510112,3027,3027
1537511075,3002,3002
1537512033,3010,3010
1537512997,3029,3029
1537513956,3034,3034
1537514911,3029,3029
1537515878,3055,3055
1537516827,3030,3030
1537517785,3047,3047
1537518757,3050,3050
1537519702,3063,3063
1537520794,3072,3072
1537521869,3074,3074
1537522816,3095,3095
1537523796,3070,3070
1537524756,3093,3093
1537525708,3114,3114
1537526675,3115,3115
1537527643,3102,3102
1537528586,3124,3124
1537529543,3153,3153
1537530498,3140,3140
1537531486,3147,3147
1537532428,3156,3156
1537533382,3181,3181
1537534348,3190,3190
1537535308,3190,3190
1537536261,3209,3209
1537537222,3222,3222
1537538192,3218,3218
1537539152,3235,3235
1537540094,3221,3221
1537541058,3233,3233
1537542034,3241,3241
1537542991,3245,3245
1537543942,3237,3237
1537545158,3238,3238
1537546127,3230,3230
1537547060,3242,3242
1537548011,3225,3225
1537548985,3226,3226
1537549931,3225,3225
1537551148,3233,3233
1537552108,3233,3233
1537553085,3242,3242
1537554011,3239,3239
1537554977,3267,3267
1537555952,3263,3263
1537556896,3294,3294
1537557854,3289,3289
1537558815,3274,3274
1537559789,3276,3276
1537560741,3283,3283
1537561689,3288,3288
1537562684,3284,3284
1537563624,3292,3292
1537564583,3276,3276
1537565536,3293,3293
1537566499,3280,3280
1537567485,3312,3312
1537568412,3296,3296
1537569393,3310,3310
1537570341,3306,3306
1537571298,3293,3293
1537572265,3280,3280
1537573216,3274,3274
1537574183,3265,3265
1537575141,3240,3240
1537576092,3243,3243
1537577076,3222,3222
1537578264,3234,3234
1537579213,3204,3204
1537580925,3221,3221
1537581858,3205,3205
1537582830,3229,3229
1537583790,3181,3181
1537584738,3174,3174
1537585697,3172,3172
1537586657,3191,3191
1537587618,3134,3134
1537588591,3161,3161
1537589561,3168,3168
1537590496,3173,3173
1537591456,3190,3190
1537592430,3156,3156
1537593377,3167,3167
1537594355,3158,3158
1537595297,3172,3172
1537596267,3199,3199
1537597223,3160,3160
1537598182,3208,3208
1537599138,3189,3189
1537600109,3176,3176
1537601056,3156,3156
1537602028,3200,3200
1537602975,3183,3183
1537603948,3190,3190
1537604893,3178,3178
1537605864,3163,3163
1537606840,3168,3168
1537607786,3201,3201
1537608740,3168,3168
1537609697,3170,3170
1537610677,3141,3141
1537611616,3162,3162
1537612582,3178,3178
1537613543,3182,3182
1537614497,3152,3152
1537615464,3199,3199
1537616413,3223,3223
1537617377,3199,3199
1537618361,3215,3215
1537619293,3185,3185
1537620257,3191,3191
1537621236,3195,3195
1537622188,3224,3224
1537623140,3239,3239
1537624094,3244,3244
1537625067,3247,3247
1537626011,3243,3243
1537626990,3232,3232
1537627951,3257,3257
1537628899,3256,3256
1537629857,3263,3263
1537630816,3278,3278
1537631775,3274,3274
1537632774,3297,3297
1537633694,3274,3274
1537634657,3276,3276
1537635638,3261,3261
1537636583,3266,3266
1537637544,3278,3278
1537638503,3274,3274
1537639464,3270,3270
1537640416,3264,3264
1537641381,3293,3293
1537642336,3272,3272
1537643321,3291,3291
1537644255,3273,3273
1537645215,3287,3287
1537646192,3295,3295
1537647135,3325,3325
1537648092,3315,3315
